split,row_id,query_label,query_text,correct_document_label,predicted_document_label,model,negation_type
test,1014-2,q2,What type of government hates supports inherited privilege?,doc2,doc1,bm25,other
test,1014-3,q1,Whose hereditary nature is said to be at odds with nonacceptance of inherited privilege?,doc1,doc2,tfidf,other
test,1014-3,q1,Whose hereditary nature is said to be at odds with nonacceptance of inherited privilege?,doc1,doc2,sbert,other
test,1014-3,q2,Whose hereditary nature is said to not be at odds with acceptance of inherited privilege?,doc2,doc1,bm25,explicit
test,1015-2,q1,What is not used habitually anymore?,doc1,doc2,sbert,explicit
test,1015-2,q2,What is not used culinarily anymore?,doc2,doc1,bm25,explicit
test,1015-2,q2,What is not used culinarily anymore?,doc2,doc1,tfidf,explicit
test,1015-3,q2,What compounds have not been discontinued for use in routine fire extinguishers?,doc2,doc1,bm25,explicit
test,1015-3,q2,What compounds have not been discontinued for use in routine fire extinguishers?,doc2,doc1,tfidf,explicit
test,1015-3,q2,What compounds have not been discontinued for use in routine fire extinguishers?,doc2,doc1,sbert,explicit
test,1016-2,q1,Who lost both friends and colleagues in flying accidents?,doc1,doc2,bm25,other
test,1016-2,q2,Who lost friends while colleagues survived flying accidents?,doc2,doc1,sbert,other
test,1016-3,q1,Whose aerobatic friends died in separate incidents?,doc1,doc2,bm25,other
